,label
100exp1,1
101exp1,1
105exp1,1
116exp1,1
121exp1,1
124exp1,1
12exp1,1
130exp1,1
135exp1,1
137exp1,1
138exp1,1
142exp1,1
143exp1,1
14exp1,1
14exp2,1
151exp1,1
17exp2,1
1exp2,1
20exp2,1
23exp2,1
24exp1,1
24exp2,1
25exp2,1
39esp2,1
40exp1,1
43exp2,1
44exp1,1
47exp1,1
47exp2,1
4exp1,1
50exp2,1
54exp2,1
56exp1,1
56exp2,1
57exp2,1
5exp1,1
61exp2,1
64exp1,1
65exp2,1
69exp2,1
6exp1,1
73exp2,1
76exp1,1
77exp1,1
77exp2,1
80exp1,1
80exp2,1
81exp2,1
84exp2,1
85exp1,1
85exp2,1
87exp1,1
89exp2,1
91exp1,1
92exp2,1
93exp2,1
94exp2,1
9exp1,1
102expII,1
105expII,1
113expI,1
113expII,1
117expII,1
136expI,1
145expI,1
160expI,1
163expI,1
164expI,1
37expII,1
3expII,1
42expII,1
45expII,1
4expII,1
60expII,1
62expII,1
67expII,1
68expII,1
84expI,1
95expI,1
98expII,1
Control1,0
Control10,0
Control11,0
Control12,0
Control13,0
Control14,0
Control15,0
Control2,0
Control3,0
Control4,0
Control5,0
Control6,0
Control7,0
Control8,0
Control9,0
