Gene Name,CD Name,Common Name,NS Probe ID,Gene Class,Cell Type,IR Type,Immune Response Category,Annotation,Synonyms / Previous Symbols
A2M,,A2M,NM_000014.4:1685,Immune Response,,I,Chemokines,"Chemokines and receptors, Innate immune response","FWP007, S863-7, CPAMD5"
ABCB1,CD243,ABCB1,NM_000927.3:3910,Immune Response,,,,CD molecules,"PGY1, MDR1, CLCS, P-gp, CD243, GP170, ABC20"
ABCF1,,ABCF1,NM_001090.2:850,HK,,,,,"ABC50, EST123147"
ABL1,,ABL,NM_005157.3:3200,Immune Response,,,"Cell Cycle, Regulation, Senescence","Regulation of cell cycle, S phase and DNA replication, Senescence initiators","ABL, JTK7, c-ABL, p150"
ADA,,ADA,NM_000022.2:1300,Immune Response,,,"B-Cell Functions, T-Cell Functions","B-cell activation, B-cell differentiation, T-cell differentiation",
ADORA2A,,ADORA2A,NM_000675.3:1095,Immune Response - Checkpoint,,,Cell Functions,Basic cell functions,"ADORA2, RDC8"
AGK,,AGK,NM_018238.3:816,HK,,,,,"MULK, FLJ10842"
AICDA,,AICDA,NM_020661.1:567,Immune Response,,,T-Cell Functions,B-cell differentiation,"HIGM2, CDA2, ARP2, AID"
AIRE,,APECED,NM_000383.2:1864,Immune Response,,H,,Humoral immune response,"APECED, PGA1, APS1"
AKT3,,AKT3,NM_181690.1:755,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific","PKBG, RAC-gamma, PRKBG"
ALAS1,,ALAS,NM_000688.4:1615,HK,,,,,"ALAS3, ALAS"
ALCAM,CD166,CD166,NM_001627.3:789,Immune Response,,A,Adhesion,"Adaptive immune response, Adhesion, CD molecules","CD166, MEMD"
AMBP,,AMBP,NM_001633.3:597,Immune Response,,,Regulation,Negative regulation of immune response,"ITI, ITIL, UTI, HCP, EDC1, HI30, IATIL, ITILC"
AMICA1,,AMICA1,NM_153206.2:620,Immune Response,,,Regulation,Regulation of immune response,"Gm638, AMICA"
AMMECR1L,,AMMECR1L,NM_001199140.1:3564,HK,,,,,MGC4268
ANP32B,,APRIL,NM_006401.2:660,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific","SSP29, PHAPI2, APRIL"
ANXA1,,ANXA1,NM_000700.1:515,Immune Response,,,Transporter Functions,Phagocytosis recognition and engulfment,"ANX1, LPC1"
APOE,,APOE,NM_000041.2:96,Immune Response - Cell Type specific,,,Transporter Functions,"Cell Type specific, Lipid transporter activity",AD2
APP,,APP,NM_000484.3:1725,Immune Response,,I,,Innate immune response,AD1
ARG1,,ARG1,NM_000045.2:505,Immune Response,,,,Response to drug,
ARG2,,ARG2,NM_001172.3:1150,Immune Response,,,,Response to drug,
ATF1,,ATF1,NM_005171.2:710,Immune Response,,I,,Innate immune response,TREB36
